Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Latency
24,38,4,47,24,0.173979187
23,14,12,23,0,0.163037825
48,1,48,0,0,0.149173021
1,1,0,0,0,0.152155399
33,2,33,0,0,0.140975523
29,29,0,0,0,0.106187916
42,42,0,0,0,0.111320162
31,31,0,0,0,0.108873653
22,25,16,22,0,0.110642862
5,1,12,5,0,0.10994792
40,28,29,48,40,0.113767242
25,29,25,0,0,0.110118914
42,14,28,42,0,0.116698503
36,9,45,36,0,0.111524296
49,20,47,49,0,0.111447144
41,11,47,38,41,0.112748051
44,44,41,29,44,0.116720486
3,4,3,0,0,0.110873604
44,44,0,0,0,0.114846468
3,1,3,0,0,0.115045738
29,32,6,26,29,0.126241159
41,7,40,2,41,0.159191418
4,35,22,4,0,0.144781971
41,17,43,22,41,0.165105867
7,7,0,0,0,0.148668528
33,2,33,0,0,0.266920185
4,4,0,0,0,0.133602858
36,4,36,0,0,0.130428219
33,31,33,0,0,0.130585194
43,3,43,0,0,0.131352568
25,38,25,31,25,0.129408693
33,33,0,0,0,0.125486517
47,16,34,9,47,0.132876396
31,31,0,0,0,0.131111908
25,49,25,0,0,0.122723436
6,14,43,28,6,0.128881931
34,16,31,45,34,0.128652191
23,38,16,34,23,0.122392702
17,17,36,17,0,0.118363762
4,4,0,0,0,0.111841202
28,12,3,44,28,0.13154397
24,2,27,24,0,0.161783886
25,7,27,11,25,0.163549662
6,49,39,6,0,0.168286705
34,34,0,0,0,0.160446787
30,49,9,17,30,0.157476902
28,28,0,0,0,0.144165134
14,31,14,0,0,0.109914064
24,1,24,0,0,0.114939785
29,29,0,0,0,0.113739824
49,22,18,22,49,0.115178967
24,41,34,24,0,0.112509871
39,35,39,0,0,0.121575117
42,44,42,0,0,0.110467958
5,42,5,0,0,0.111820984
36,36,0,0,0,0.103720379
24,21,20,5,24,0.114170408
34,35,34,0,0,0.110219955
43,9,24,43,0,0.11043129
8,13,19,47,8,0.107125425
47,47,0,0,0,0.108955288
31,43,12,31,0,0.109800577
23,32,22,17,23,0.113884068
38,17,38,0,0,0.153590298
41,41,0,0,0,0.133060694
47,22,47,0,0,0.163803244
41,5,41,0,0,0.146645212
2,3,2,0,0,0.150410032
48,12,48,0,0,0.161472654
49,33,11,49,0,0.140414143
43,47,38,20,43,0.114522934
4,18,45,41,4,0.112317944
29,29,0,0,0,0.109326553
26,26,0,0,0,0.105520916
44,15,16,23,44,0.109648466
32,39,45,32,0,0.116341305
8,15,8,0,0,0.11093235
21,21,0,0,0,0.110089397
48,7,48,0,0,0.113581419
26,26,0,0,0,0.104793453
23,17,24,14,23,0.111327839
45,16,32,24,45,0.111784267
42,14,1,17,42,0.114499664
43,43,0,0,0,0.108995914
49,17,49,0,0,0.112917995
24,49,24,0,0,0.113443041
7,39,13,7,0,0.163805103
22,26,22,0,0,0.171833229
3,3,0,0,0,0.153118134
45,28,34,11,45,0.160153055
34,5,28,38,34,0.16981678
20,20,0,0,0,0.148254681
21,46,11,21,0,0.11669488
4,25,49,4,0,0.111657143
12,31,18,12,0,0.111139965
14,14,0,0,0,0.108013248
16,7,48,16,0,0.10973177
9,35,12,9,0,0.115795326
34,49,34,0,0,0.211294699
20,23,20,0,0,0.12950449
49,7,49,0,0,0.128924561
43,18,43,0,0,0.137963533
25,40,16,25,0,0.132447672
47,47,0,0,0,0.12559967
44,19,28,20,44,0.134569788
49,27,28,45,49,0.142775297
2,4,2,0,0,0.162099457
23,23,0,0,0,0.159405899
48,25,22,9,48,0.171168041
39,27,21,2,39,0.166787624
20,3,46,20,0,0.151612234
7,35,29,7,0,0.167146206
17,33,25,32,17,0.126928616
23,42,23,0,0,0.113047028
9,36,9,9,0,0.113198042
23,37,13,23,0,0.118881798
21,35,46,21,0,0.118081141
25,19,7,25,0,0.116437387
20,18,42,20,0,0.117826509
7,12,28,7,0,0.116852331
31,43,20,20,31,0.119753313
41,41,0,0,0,0.114185238
9,33,9,0,0,0.116949511
25,1,25,0,0,0.114067268
18,30,18,0,0,0.113084126
3,14,18,5,3,0.115459251
15,16,8,15,0,0.112261915
44,7,20,34,44,0.120621252
24,24,0,0,0,0.160653925
5,28,47,5,0,0.139585114
33,33,0,0,0,0.1460114
10,10,0,0,0,0.149525166
40,40,0,0,0,0.147013426
5,25,5,5,0,0.162094784
4,4,4,0,0,0.154580355
43,19,6,43,0,0.120726156
41,29,41,0,0,0.115224504
30,7,37,30,0,0.11729064
46,35,16,46,0,0.116320086
44,20,48,44,0,0.111680555
10,10,0,0,0,0.111067772
19,19,0,0,0,0.108908558
44,44,0,0,0,0.108670998
30,35,47,30,0,0.115118504
22,31,22,0,0,0.110897732
5,18,5,5,0,0.112865257
42,1,42,0,0,0.113673782
15,40,43,15,0,0.111546564
45,45,0,0,0,0.105242252
28,28,0,0,0,0.107750034
20,20,0,0,0,0.112135077
35,37,35,0,0,0.120289707
45,24,45,0,0,0.149240255
39,31,39,0,0,0.15416975
11,22,45,33,11,0.159774113
11,33,44,48,11,0.168788195
8,8,0,0,0,0.160650539
8,18,8,0,0,0.153796768
32,46,8,10,32,0.117400646
22,17,35,32,22,0.117905521
10,6,9,10,0,0.113035297
25,14,14,26,25,0.106948805
44,44,0,0,0,0.113748741
27,42,27,0,0,0.110474634
25,25,0,0,0,0.109425926
39,39,0,0,0,0.110640144
29,3,29,0,0,0.111319828
40,8,40,0,0,0.115586376
12,18,12,0,0,0.116557407
45,21,45,0,0,0.11165576
28,17,28,0,0,0.116876984
48,45,48,0,0,0.116056061
17,1,3,17,0,0.131612444
21,21,0,0,0,0.159981632
38,22,17,22,38,0.170198441
48,48,0,0,0,0.17374773
36,13,36,0,0,0.1750772
20,33,15,35,20,0.178474092
40,40,0,0,0,0.181092834
44,44,0,0,0,0.131519938
6,30,6,0,0,0.123585939
16,1,45,16,0,0.126003551
48,48,0,0,0,0.119025373
1,10,1,7,1,0.127713394
10,28,7,10,0,0.116724873
46,37,46,0,0,0.125353432
7,38,7,0,0,0.118903589
18,32,28,18,0,0.113341427
4,42,36,15,4,0.11877327
3,30,13,20,3,0.112053585
49,49,0,0,0,0.114266205
17,11,44,49,17,0.118464279
32,48,35,32,0,0.110010958
18,25,18,0,0,0.111291456
24,24,0,0,0,0.14062829
31,9,33,29,31,0.140660334
42,42,0,0,0,0.157021523
3,17,3,0,0,0.152430964
4,31,24,4,0,0.154616928
9,21,4,34,9,0.170224762
12,37,16,12,0,0.167094421
17,38,17,0,0,0.111748838
28,8,28,0,0,0.114439774
4,47,4,0,0,0.113944101
35,15,35,0,0,0.113961983
32,9,7,32,0,0.112134552
1,18,1,23,1,0.126754475
15,10,15,0,0,0.114460754
21,30,21,0,0,0.108765507
29,37,43,18,29,0.117185497
15,2,15,0,0,0.11631093
48,7,29,31,48,0.112316322
17,2,17,0,0,0.110688353
11,11,0,0,0,0.106771612
7,35,36,38,7,0.115926075
43,35,43,0,0,0.115298653
12,41,42,45,12,0.112315226
9,17,40,22,9,0.155729485
12,35,17,12,0,0.155876684
49,17,8,18,49,0.151231861
48,35,45,48,0,0.168522024
34,43,49,35,34,0.151021433
16,16,0,0,0,0.163075256
19,47,19,0,0,0.137110662
38,6,38,0,0,0.112476778
39,39,0,0,0,0.105832911
11,7,41,2,11,0.114605427
41,6,20,20,41,0.114096689
35,37,43,35,0,0.112478352
44,44,0,0,0,0.111684513
24,24,0,0,0,0.114119625
12,42,26,11,12,0.117965508
49,31,13,16,49,0.118241453
7,12,7,0,0,0.116189575
13,13,0,0,0,0.108752251
17,17,0,0,0,0.108270693
26,48,18,26,0,0.110262394
48,29,48,0,0,0.107901144
25,29,35,27,25,0.11355648
25,12,9,25,0,0.123001909
32,32,0,0,0,0.155231667
17,41,44,35,17,0.148993731
24,37,20,21,24,0.160735655
32,18,32,0,0,0.143509293
19,36,38,40,19,0.307725763
36,6,36,0,0,0.132756138
46,45,13,46,0,0.131994534
37,37,0,0,0,0.128542185
26,26,0,0,0,0.133966017
2,14,4,2,0,0.135726452
43,39,30,43,0,0.132150602
44,44,0,0,0,0.12896328
45,27,45,0,0,0.128873014
34,36,34,0,0,0.126045179
4,43,4,0,0,0.123300934
17,17,0,0,0,0.120882273
21,21,0,0,0,0.116903019
29,29,0,0,0,0.11964035
26,1,26,0,0,0.113088942
10,29,10,0,0,0.118777657
43,39,25,43,0,0.163590384
1,23,1,0,0,0.185001659
21,12,21,0,0,0.162046289
10,29,10,0,0,0.168586445
39,3,39,0,0,0.165405989
30,20,39,23,30,0.162464571
8,8,0,0,0,0.112535334
36,24,36,0,0,0.112942839
5,3,22,30,5,0.121393251
12,30,12,0,0,0.111649418
31,20,31,0,0,0.111229277
40,32,40,0,0,0.117355919
36,30,36,0,0,0.113959503
11,12,17,11,0,0.111450815
25,40,1,25,0,0.108919859
37,25,37,0,0,0.10827775
9,29,30,9,0,0.113992739
13,13,17,35,13,0.111234093
8,8,44,8,0,0.115252399
47,6,7,35,47,0.116952753
43,28,20,43,0,0.111481571
44,29,28,44,0,0.112055206
5,5,18,10,5,0.148210239
27,27,0,0,0,0.151520395
15,15,0,0,0,0.148413181
20,41,36,26,20,0.137222624
26,27,26,0,0,0.15723443
9,9,9,0,0,0.151299286
30,39,21,18,30,0.150630522
16,28,15,46,16,0.13751235
5,5,0,0,0,0.115229177
16,47,27,16,0,0.115779877
2,2,0,0,0,0.112555933
27,27,0,0,0,0.109296846
20,21,17,20,0,0.11454277
4,4,0,0,0,0.111046076
10,10,0,0,0,0.113987923
14,30,14,0,0,0.116656971
25,25,0,0,0,0.110498428
11,21,3,11,0,0.117329216
34,34,0,0,0,0.108490038
38,38,0,0,0,0.114695549
34,34,0,0,0,0.108381462
49,41,7,34,49,0.120144415
32,40,32,0,0,0.117802811
39,1,10,6,39,0.123333168
43,21,25,16,43,0.143690062
23,9,4,23,0,0.168391562
14,20,14,0,0,0.151557493
44,17,27,44,0,0.147836018
20,19,20,0,0,0.157722044
20,18,9,20,0,0.175144577
20,39,9,20,0,0.149839592
5,10,5,0,0,0.117981482
9,44,26,38,9,0.116318226
25,48,45,25,0,0.119171715
35,35,0,0,0,0.11823616
39,6,39,0,0,0.115068865
32,34,37,32,0,0.118959475
